GNL_CD,GEN_SHORT,GEN_LONG
517300ATB,abacavir sulfate + lamivudine,abacavir sulfate (as abacavir 0.6g) + lamivudine 0.3g
641600ATB,abacavir sulfate + lamivudine + micronized dolutegravir sodium,abacavir sulfate (as abacavir 600mg) + lamivudine 0.3g + micronized dolutegravir sodium (as dolutegravir 50mg)
512201BIJ,abatacept,abatacept 0.25g
512230BIJ,abatacept,abatacept 0.125g(0.125g/mL)
512202BIJ,abatacept,abatacept 125mg
100431BIJ,abciximab,abciximab 10mg(2mg/mL)
100402BIJ,abciximab + A,abciximab 5mg+A3551:C4920
620402ATB,abiraterone acetate,abiraterone acetate 0.5g
511801CDS,absorbable collagen hemostat,absorbable collagen hemostat 1g
100501ATE,acamprosate,acamprosate 333mg
100501ATB,acamprosate,acamprosate 333mg
100601ATB,acarbose,acarbose 0.1g
100602ATB,acarbose,acarbose 50mg
100701ATB,acebrophylline,acebrophylline 0.1g
100702ATR,acebrophylline,acebrophylline 0.2g
100901ATB,aceclofenac,aceclofenac 0.1g
100903ATR,aceclofenac,aceclofenac 0.2g
101001ATB,acemetacin,acemetacin 60mg
101305ATB,acetaminophen,acetaminophen 0.5g
101330ASY,acetaminophen,acetaminophen 16g(32mg/mL)
101332ASY,acetaminophen,acetaminophen 120g(0.4g/g)
101401ATB,acetaminophen,acetaminophen(encapsulated) 0.16g
101404ATB,acetaminophen,acetaminophen(encapsulated) 0.325g
101430ATR,acetaminophen,acetaminophen(encapsulated) 0.65g
101431ASY,acetaminophen,acetaminophen(encapsulated) 1.92g(32mg/mL)
101433ASY,acetaminophen,acetaminophen(encapsulated) 16g(32mg/mL)
101302CSP,acetaminophen,acetaminophen 125mg
101303ATB,acetaminophen,acetaminophen 300mg
101304ALQ,acetaminophen,acetaminophen 32mg
101310ASY,acetaminophen,acetaminophen 400mg
518200ATB,acetaminophen + hydrocodone bitartrate,acetaminophen 0.325g + hydrocodone bitartrate 5mg
518300ATB,acetaminophen + hydrocodone bitartrate,acetaminophen 325mg + hydrocodone bitartrate 7.5mg
380500ATB,acetaminophen + oxycodone HCl,acetaminophen 325mg + oxycodone HCl 5mg
480600ATB,acetaminophen + tramadol hydrochloride,acetaminophen 0.1625g + tramadol hydrochloride 18.75mg
513000ATB,acetaminophen + tramadol hydrochloride,acetaminophen 0.325g + tramadol hydrochloride 37.5mg
513000ATR,acetaminophen + tramadol hydrochloride,acetaminophen 0.325g + tramadol hydrochloride 37.5mg
514100ATR,acetaminophen + tramadol hydrochloride,acetaminophen 0.65g + tramadol hydrochloride 75mg
101402ATR,acetaminophen encapsulated,acetaminophen encapsulated 325mg
101403ASY,acetaminophen encapsulated,acetaminophen encapsulated 32mg
101405ATR,acetaminophen encapsulated,acetaminophen encapsulated 650mg
101406ATB,acetaminophen encapsulated,acetaminophen encapsulated(as acetaminophen) 80mg
101501ATB,acetazolamide,acetazolamide 250mg
101502BIJ,acetazolamide sodium,acetazolamide sodium (as acetazolamide 0.5g)
479300BIS,acetic acid + calcium chloride + dextrose anhydrous + magnesium chloride + potassium chloride + sodium chloride,acetic acid 63g(6.3mg/mL) + calcium chloride 67g(6.7mg/mL) + dextrose anhydrous 315.5g(31.55mg/mL) + magnesium chloride 35.6g(3.56mg/mL) + potassium chloride 52.2g(5.22mg/mL) + sodium chloride 2148g(0.2148mg/mL)
322800BIS,acetic acid + calcium chloride + dextrose anhydrous + magnesium chloride + potassium chloride + sodium chloride,acetic acid 63.1g/10ug + calcium chloride 64.3g/10ug + dextrose anhydrous 350g/10ug + magnesium chloride 35.6g/10ug + potassium chloride 52.2g/10ug + sodium chloride 2107g/10ug
478900BIS,acetic acid + calcium chloride + magnesium chloride + potassium chloride + sodium chloride,acetic acid 84.1g(8.41mg/mL) + calcium chloride 77.2g(7.72mg/mL) + magnesium chloride 35.6g(3.56mg/mL) + potassium chloride 52.2g(5.22mg/mL) + sodium chloride 2147.7g(0.21477g/mL)
479100BIS,acetic acid + calcium chloride + magnesium chloride + potassium chloride + sodium chloride,acetic acid 63g/10ug + calcium chloride 67g/10ug + magnesium chloride 14g/10ug + potassium chloride 52g/10ug + sodium chloride 2148g/10ug
606600BIS,acetic acid + calcium chloride dihydrate + dextrose anhydrous + magnesium chloride hexahydrate + potassium chloride + sodium chloride,acetic acid 37.86g(6.31mg/mL) + calcium chloride dihydrate 38.58g(6.43mg/mL) + dextrose anhydrous 210g(35mg/mL) + magnesium chloride hexahydrate 21.36g(3.56mg/mL) + potassium chloride 31.32g(5.22mg/mL) + sodium chloride 1264.2g(0.2107g/mL)
606700BIS,acetic acid + calcium chloride dihydrate + dextrose anhydrous + magnesium chloride hexahydrate + potassium chloride + sodium chloride,acetic acid 31.55g(6.31mg/mL) + calcium chloride dihydrate 32.15g(6.43mg/mL) + dextrose anhydrous 175g(35mg/mL) + magnesium chloride hexahydrate 17.8g(3.56mg/mL) + potassium chloride 26.1g(5.22mg/mL) + sodium chloride 1053.5g(0.2107g/mL)
481400BIS,acetic acid + calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + potassium chloride + sodium chloride,acetic acid 600g(6.34mg/mL) + calcium chloride dihydrate 608g(6.43mg/mL) + dextrose monohydrate 7286g(76.99mg/mL) + magnesium chloride hexahydrate 252g(2.66mg/mL) + potassium chloride 494g(5.22mg/mL) + sodium chloride 19938g(0.21069g/mL)
481500BIS,acetic acid + calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + potassium chloride + sodium chloride,acetic acid 600g(6.34mg/mL) + calcium chloride dihydrate 852g(9.00mg/mL) + dextrose monohydrate 7286g(76.99mg/mL) + magnesium chloride hexahydrate 327g(3.46mg/mL) + potassium chloride 494g(5.22mg/mL) + sodium chloride 19938g(0.21069g/mL)
101601ATE,acetyl L-carnitine HCl,acetyl L-carnitine HCl(as acetyl L-carnitine 500mg) 590mg
101601AGN,acetyl L-carnitine hydrochloride,acetyl L-carnitine hydrochloride (as acetyl L-carnitine 0.5g)
101601ATB,acetyl L-carnitine hydrochloride,acetyl L-carnitine hydrochloride (as acetyl L-carnitine 0.5g)
101701COS,acetylcholine chloride,acetylcholine chloride 20mg(10mg/mL)
101801ATB,acetylcysteine,acetylcysteine 0.1g
101804ATB,acetylcysteine,acetylcysteine 0.2g
101807ATB,acetylcysteine,acetylcysteine 0.6g
101830AGN,acetylcysteine,acetylcysteine 0.2g(0.2g/g)
101831BIJ,acetylcysteine,acetylcysteine 0.3g(0.1g/mL)
101832BIJ,acetylcysteine,acetylcysteine 0.3g(0.15g/mL)
101833BIJ,acetylcysteine,acetylcysteine 0.6g(0.1g/mL)
101836BIJ,acetylcysteine,acetylcysteine 1g(0.1g/mL)
101840ASY,acetylcysteine,acetylcysteine 11g(20mg/mL)
101842AGN,acetylcysteine,acetylcysteine 20g(0.2g/g)
101843AGN,acetylcysteine,acetylcysteine 40g(0.2g/g)
101844AGN,acetylcysteine,acetylcysteine 60g(0.2g/g)
101804ACH,acetylcysteine,acetylcysteine
101802BIJ,acetylcysteine,acetylcysteine 300mg
101808ASY,acetylcysteine,acetylcysteine 20mg
101810BIJ,acetylcysteine,acetylcysteine 900mg
532900ASY,acetylcysteine + chlorpheniramine maleate,acetylcysteine 0.2g(20mg/mL) + chlorpheniramine maleate 4mg(0.4mg/mL)
533000ASY,acetylcysteine + chlorpheniramine maleate,acetylcysteine 10g(20mg/mL) + chlorpheniramine maleate 0.2g(0.4mg/mL)
533100ASY,acetylcysteine + chlorpheniramine maleate,acetylcysteine 11g(20mg/mL) + chlorpheniramine maleate 0.22g(0.4mg/mL)
450400ASY,acetylcysteine + chlorpheniramine maleate,acetylcysteine 20mg + chlorpheniramine maleate 0.4mg
102201ATB,acipimox,acipimox 250mg
457731COS,acitazanolast hydrate,acitazanolast hydrate (as acitazanolast 5mg(1mg/mL))
102301ATB,acitretin,acitretin 10mg
102502ATB,aclatonium napadisilate,aclatonium napadisilate 50mg
633730CSI,aclidinium bromide,aclidinium bromide(micronized) 24mg (0.4mg/ug)
635300CSI,aclidinium bromide + formoterol fumarate dihydrate,aclidinium bromide(micronized) 24mg(400ug/ug) + formoterol fumarate dihydrate 0.72mg(12ug/ug)
328400BIJ,aconitum tinc-D+ arnica tinc-D+ belladonna tinc-D+ bellis perennis tinc-D+ calendula tinc-D+ chamomilla tinc-D+ echinacea angustifol tinc-D+ echinacea purpurea tinc-D+ hamamelis tinc-D+ hepar sulfuris-D+ hypericum tinc-D+ mercur solub hahnem-D+ millefolium tinc-D+ symphytum tinc-D,aconitum tinc-D2 1.32ugL(0.6ugL/mL) + arnica tinc-D2 2.2ugL(1ugL/mL) + belladonna tinc-D2 2.2ugL(1ugL/mL) + bellis perennis tinc-D2 1.1ugL(0.5ugL/mL) + calendula tinc-D2 2.2ugL(1ugL/mL) + chamomilla tinc-D3 2.2ugL(1ugL/mL) + echinacea angustifol tinc-D2 0.55ugL(0.25ugL/mL) + echinacea purpurea tinc-D2 0.55ugL(0.25ugL/mL) + hamamelis tinc-D1 0.22ugL(0.1ugL/mL) + hepar sulfuris-D3 2.2mg(1mg/mL) + hypericum tinc-D2 0.66ugL(0.3ugL/mL) + mercur solub hahnem-D6 1.1mg(0.5mg/mL) + millefolium tinc-D3 2.2ugL(1ugL/mL) + symphytum tinc-D6 2.2ugL(1ugL/mL)
800800BIJ,aconitum tinc-D2 + arnica tinc-D2 + belladonna tinc-D2 + bellis perennis tinc-D2 + calendula tinc-D2+ chamomilla tinc-D2 + echinacea angustifol tinc-D2+ echinacea purpurea tinc-D2 + hamamelis tinc-D2 + hepar sulfuris-D2+ hypericum tinc-D2+ millefolium tinc-D2+ symphytum tinc-D2,aconitum tinc-D2 1.32ugL(0.6ugL/mL) + arnica tinc-D2 2.2ugL(1ugL/mL) + belladonna tinc-D2 2.2ugL(1ugL/mL) + bellis perennis tinc-D2 1.1ugL(0.5ugL/mL) + calendula tinc-D2 2.2ugL(1ugL/mL) + chamomilla tinc-D3 2.2ugL(1ugL/mL) + echinacea angustifol tinc-D2 0.55ugL(0.25ugL/mL) + echinacea purpurea tinc-D2 0.55ugL(0.25ugL/mL) + hamamelis tinc-D1 0.22ugL(0.1ugL/mL) + hepar sulfuris-D3 2.2mg(1mg/mL) + hypericum tinc-D2 0.66ugL(0.3ugL/mL) + millefolium tinc-D3 2.2ugL(1ugL/mL) + symphytum tinc-D6 2.2ugL(1ugL/mL)
102730ASY,activated charcoal,activated charcoal 50g(0.2g/mL)
102701ASY,activated charcoal,activated charcoal 200mg
102904ATB,acyclovir,acyclovir 0.2g
102905BIJ,acyclovir,acyclovir 0.5g
102907ATB,acyclovir,acyclovir 0.4g
102933COM,acyclovir,acyclovir 0.15g(50mg/g)
102934BIJ,acyclovir,acyclovir 0.25g(25mg/mL)
102935COM,acyclovir,acyclovir 0.25g(50mg/g)
102936COM,acyclovir,acyclovir 0.35g(50mg/g)
102937COM,acyclovir,acyclovir 0.5g(50mg/g)
102940ASY,acyclovir,acyclovir 2.4g(80mg/mL)
102942ASY,acyclovir,acyclovir 12g(80mg/mL)
102901ASY,acyclovir,acyclovir 160mg
102902BIJ,acyclovir,acyclovir 250mg
102906COM,acyclovir,acyclovir 50mg
102910ASY,acyclovir,acyclovir 80mg
658500COM,acyclovir + hydrocortisone,acyclovir 0.5g(50mg/g) + hydrocortisone 0.1g(10mg/g)
488430BIJ,adalimumab,adalimumab 40mg(50mg/mL)
488401BIJ,adalimumab,adalimumab 40mg
457501ATB,adefovir dipivoxil,adefovir dipivoxil 10mg
427800ATB,adenine hydrochloride + antitoxic liver ext. + biphenyl dimethyl dicarboxylate + carnitine orotate + cyanocobalamin + pyridoxine hydrochloride + riboflavin,adenine hydrochloride 2.5mg + antitoxic liver ext. 12.5mg + biphenyl dimethyl dicarboxylate 25mg + carnitine orotate 150mg + cyanocobalamin 0.125mg + pyridoxine hydrochloride 25mg + riboflavin 0.5mg
103030BIJ,adenosine,adenosine 6mg(3mg/mL)
256700ATB,aescin + thiocolchicoside,aescin 20mg + thiocolchicoside 4mg
626101ATB,afatinib dimaleate,afatinib dimaleate (as afatinib 20mg)
626102ATB,afatinib dimaleate,afatinib dimaleate (as afatinib 30mg)
626103ATB,afatinib dimaleate,afatinib dimaleate (as afatinib 40mg)
623930BIJ,aflibercept,aflibercept 6.6mg(40mg/mL)
623931BIJ,aflibercept,aflibercept 11.12mg(40mg/mL)
658801BIJ,aflibercept,aflibercept 0.1g(25mg/mL)
658802BIJ,aflibercept,aflibercept 0.2g(25mg/mL)
623902BIJ,aflibercept,aflibercept 11.12mg
104101ATB,afloqualone,afloqualone 20mg
637830BIJ,agalsidase alfa,agalsidase alfa 3.5mg(1mg/mL)
104201ATB,alacepril,alacepril 25mg
104202ATB,alacepril,alacepril 50mg
104303ATB,albendazol,albendazol 0.4g
619330COS,alcaftadine,alcaftadine 12.5mg(2.5mg/mL)
619331COS,alcaftadine,alcaftadine 7.5mg(2.5mg/mL)
103433COM,alclometasone dipropionate,alclometasone dipropionate 0.225g(0.5mg/g)
103401COM,alclometasone dipropionate,alclometasone dipropionate 0.5mg
103402COM,alclometasone dipropionate,alclometasone dipropionate 1mg
104501BIJ,aldesleukin,aldesleukin(rhIL-2) 18MI.U
656201ATB,alectinib hydrochloride,alectinib hydrochloride (as alectinib 0.15g)
558902BIJ,alemtuzumab,alemtuzumab 12mg
104601ATB,alfacalcidol,alfacalcidol 0.5ug
104602ATB,alfacalcidol,alfacalcidol 1ug
104701BIJ,alfentanil HCl,alfentanil HCl 1.088mg
104703BIJ,alfentanil HCl,alfentanil HCl 2.72mg
104730BIJ,alfentanil hydrochloride,alfentanil hydrochloride (as alfentanil 1mg(0.5mg/mL))
104803ATR,alfuzosin hydrochloride,alfuzosin hydrochloride 10mg
499001BIJ,alglucosidase alpha,alglucosidase alpha(recombinant human acid ug-glucosidase) 52.5mg
624001ATB,alitretinoin,alitretinoin 10mg
624002ATB,alitretinoin,alitretinoin 30mg
645601CSY,allogeneic skin-derived keratinocyte,allogeneic skin-derived keratinocyte 2 x 10^7 cells
105001ATB,allopurinol,allopurinol 0.1g
105201ASY,almagate,almagate 1.5g(0.1g/mL)
105202ATB,almagate,almagate 1g
105203ATB,almagate,almagate 0.5g
105230ASY,almagate,almagate 1g(66.667mg/mL)
105202ASY,almagate,almagate 1g
499401ATB,almotriptan maleate,almotriptan maleate (as almotriptan 12.5mg)
405301ATB,aloe ext.,aloe ext. 100mg
624202ATB,alogliptin benzoate,alogliptin benzoate (as alogliptin 12.5mg)
624203ATB,alogliptin benzoate,alogliptin benzoate (as alogliptin 25mg)
624201ATB,alogliptin benzoate,alogliptin benzoate(as alogliptin 6.25mg) 8.5mg
635600ATB,alogliptin benzoate + metformin hydrochloride,alogliptin benzoate (as alogliptin 12.5mg) + metformin hydrochloride 0.5g
635700ATB,alogliptin benzoate + metformin hydrochloride,alogliptin benzoate (as alogliptin 12.5mg) + metformin hydrochloride 1g
630300ATB,alogliptin benzoate + pioglitazone hydrochloride,alogliptin benzoate (as alogliptin 12.5mg) + pioglitazone hydrochloride 16.53mg
630400ATB,alogliptin benzoate + pioglitazone hydrochloride,alogliptin benzoate (as alogliptin 12.5mg) + pioglitazone hydrochloride 33.06mg
630500ATB,alogliptin benzoate + pioglitazone hydrochloride,alogliptin benzoate (as alogliptin 25mg) + pioglitazone hydrochloride 16.53mg
630600ATB,alogliptin benzoate + pioglitazone hydrochloride,alogliptin benzoate (as alogliptin 25mg) + pioglitazone hydrochloride 33.06mg
105501ATB,alprazolam,alprazolam 1mg
105502ATB,alprazolam,alprazolam 0.25mg
105504ATB,alprazolam,alprazolam 0.4mg
105505ATB,alprazolam,alprazolam 0.5mg
105505ATR,alprazolam,alprazolam 0.5mg
105631BIJ,alprostadil,alprostadil 10ug(5ug/mL)
105601BIJ,alprostadil,alprostadil 10ug
105901ATB,aluminum hydroxide gel,aluminum hydroxide gel(dried) 300mg
106001ASY,aluminum phosphate,aluminum phosphate(colloidal) 12.38g
294300ATB,alverine citrate + simethicone,alverine citrate 60mg + simethicone 0.3g
106101ATB,amantadine HCl,amantadine HCl 100mg
106230BIJ,amantadine sulfate,amantadine sulfate 0.2g(0.4mg/mL)
106201BIJ,amantadine sulfate,amantadine sulfate 200mg
564701ATB,ambrisentan,ambrisentan 5mg
564702ATB,ambrisentan,ambrisentan 10mg
106302BIJ,ambroxol HCl,ambroxol HCl 15mg
106303ASY,ambroxol HCl,ambroxol HCl 3mg
264700ASY,ambroxol HCl + clenbuterol HCl,ambroxol HCl 1.5mg + clenbuterol HCl 1ug
106301ATB,ambroxol hydrochloride,ambroxol hydrochloride 30mg
106330BIJ,ambroxol hydrochloride,ambroxol hydrochloride 15mg(7.5mg/mL)
264800ATB,ambroxol hydrochloride + clenbuterol hydrochloride,ambroxol hydrochloride 30mg + clenbuterol hydrochloride 20ug
531900ASY,ambroxol hydrochloride + clenbuterol hydrochloride,ambroxol hydrochloride 0.675g(1.5mg/mL) + clenbuterol hydrochloride 0.45mg(1ug/mL)
532000ASY,ambroxol hydrochloride + clenbuterol hydrochloride,ambroxol hydrochloride 0.75g(1.5mg/mL) + clenbuterol hydrochloride 0.5mg(1ug/mL)
532100ASY,ambroxol hydrochloride + clenbuterol hydrochloride,ambroxol hydrochloride 1.5g(1.5mg/mL) + clenbuterol hydrochloride 1mg(1ug/mL)
106430COM,amcinonide,amcinonide 15mg(1mg/g)
106401COM,amcinonide,amcinonide 1mg
106501ATB,amezinium methylsulfate,amezinium methylsulfate 10mg
106601ATB,amfenac sodium,amfenac sodium 50mg
536800ASY,amidotrizoate + meglumine + sodium hydroxide,amidotrizoate 59.73g(0.5973g/mL) + meglumine 15.924g(0.15924g/mL) + sodium hydroxide 0.629g(6.29mg/mL)
312700ASY,amidotrizoate + meglumine + sodium hydroxide,amidotrizoate 597.3mg + meglumine 159.24mg + sodium hydroxide 6.29mg
106830BIJ,amikacin,amikacin 0.1g(50mg/mL)
106835BIJ,amikacin,amikacin 0.25g(0.125g/mL)
106836BIJ,amikacin,amikacin 0.5g(0.25g/mL)
106803BIJ,amikacin sulfate,amikacin sulfate 0.2g
106831BIJ,amikacin sulfate,amikacin sulfate 0.25g(0.125g/mL)
106833BIJ,amikacin sulfate,amikacin sulfate 0.5g(0.25g/mL)
106834BIJ,amikacin sulfate,amikacin sulfate 0.5g(5mg/mL)
106801BIJ,amikacin sulfate,amikacin sulfate 100mg
106804BIJ,amikacin sulfate,amikacin sulfate 250mg
106805BIJ,amikacin sulfate,amikacin sulfate 500mg
106901ATB,amiloride hydrochloride,amiloride hydrochloride 5mg
107131BIJ,amino acids,amino acids(2.5%) 12.5g/500ml
107132BIJ,amino acids,amino acids(2.5%) 50g/1000ml
107139BIJ,amino acids,amino acids(5%) 12.5g/250ml
107140BIJ,amino acids,amino acids(5%) 25g/500ml
107141BIJ,amino acids,amino acids(5.5%) 13.75g/250ml
107142BIJ,amino acids,amino acids(6%) 6g/100ml
107144BIJ,amino acids,amino acids(6%) 15g/250ml
107145BIJ,amino acids,amino acids(6%) 30g/500ml
107146BIJ,amino acids,amino acids(6.1%) 12.2g/200ml
107147BIJ,amino acids,amino acids(6.1%) 15.25g/250ml
107150BIJ,amino acids,amino acids(7.5%) 15g/200ml
107151BIJ,amino acids,amino acids(7.5%) 18.75g/250ml
107152BIJ,amino acids,amino acids(8%) 16g/200ml
107153BIJ,amino acids,amino acids(8%) 20g/250ml
107154BIJ,amino acids,amino acids(8%) 40g/500ml
107155BIJ,amino acids,amino acids(8.5%) 21.25g/250ml
107156BIJ,amino acids,amino acids(8.5%) 42.5g/500ml
107157BIJ,amino acids,amino acids(10%) 10g/100ml
107158BIJ,amino acids,amino acids(10%) 20g/200ml
107159BIJ,amino acids,amino acids(10%) 25g/250ml
107160BIJ,amino acids,amino acids(10%) 50g/500ml
107161BIJ,amino acids,amino acids(10.5%) 26.25g/250ml
107163BIJ,amino acids,amino acids(11.5%) 28.75g/250ml
107164BIJ,amino acids,amino acids(12%) 60g/500ml
107167BIJ,amino acids,amino acids(12.8%) 32g/250ml
107169BIJ,amino acids,amino acids(13%) 32.5g/250ml
107170BIJ,amino acids,amino acids(13%) 65g/500ml
416200BIJ,amino acids + dextrose,amino acids 8.5%(Aug1L) + dextrose 330g(Bug1L)
107330BIJ,aminophylline,aminophylline 0.25g(25mg/mL)
107302BIJ,aminophylline,aminophylline 250mg
267000ATB,aminophylline + chlorpheniramine maleate + methylephedrine HCl + phenobarbital,aminophylline 50mg + chlorpheniramine maleate 1.5mg + methylephedrine HCl 8.75mg + phenobarbital 4mg
267100ATB,aminophylline + chlorpheniramine maleate + methylephedrine HCl + phenobarbital,aminophylline 50mg + chlorpheniramine maleate 4mg + methylephedrine HCl 35mg + phenobarbital 8mg
107301ATB,aminophylline hydrate,aminophylline hydrate 0.1g
107301ATR,aminophylline hydrate,aminophylline hydrate 0.1g
107303ATR,aminophylline hydrate,aminophylline hydrate 0.225g
107402BIJ,amiodarone HCl,amiodarone HCl 150mg
107401ATB,amiodarone hydrochloride,amiodarone hydrochloride 0.2g
107430BIJ,amiodarone hydrochloride,amiodarone hydrochloride 0.15g(50mg/mL)
420002ATB,amisulpride,amisulpride 0.4g
420003ATB,amisulpride,amisulpride 0.1g
420004ATB,amisulpride,amisulpride 0.2g
107501ATB,amitriptyline hydrochloride,amitriptyline hydrochloride 10mg
107502ATB,amitriptyline hydrochloride,amitriptyline hydrochloride 25mg
107504ATB,amitriptyline hydrochloride,amitriptyline hydrochloride 5mg
464601ATB,amlodipine adipate,amlodipine adipate (as amlodipine 5mg)
522900ATB,amlodipine adipate + valsartan,amlodipine adipate (as amlodipine 5mg) + valsartan 80mg
523000ATB,amlodipine adipate + valsartan,amlodipine adipate (as amlodipine 5mg) + valsartan 0.16g
523100ATB,amlodipine adipate + valsartan,amlodipine adipate (as amlodipine 10mg) + valsartan 0.16g
107601ATB,amlodipine besylate,amlodipine besylate (as amlodipine 5mg)
107601ATD,amlodipine besylate,amlodipine besylate (as amlodipine 5mg)
107602ATB,amlodipine besylate,amlodipine besylate (as amlodipine 10mg)
107602ATD,amlodipine besylate,amlodipine besylate (as amlodipine 10mg)
472300ATB,amlodipine besylate + atorvastatin calcium,amlodipine besylate (as amlodipine 5mg) + atorvastatin calcium (as atorvastatin 10mg)
472400ATB,amlodipine besylate + atorvastatin calcium,amlodipine besylate (as amlodipine 5mg) + atorvastatin calcium (as atorvastatin 20mg)
472500ATB,amlodipine besylate + atorvastatin calcium,amlodipine besylate (as amlodipine 5mg) + atorvastatin calcium (as atorvastatin 40mg)
652900ATB,amlodipine besylate + candesartan cilexetil,amlodipine besylate (as amlodipine 5mg) + candesartan cilexetil 8mg
653000ATB,amlodipine besylate + candesartan cilexetil,amlodipine besylate (as amlodipine 5mg) + candesartan cilexetil 16mg
653100ATB,amlodipine besylate + candesartan cilexetil,amlodipine besylate (as amlodipine 10mg) + candesartan cilexetil 16mg
651900ATB,amlodipine besylate + fimasartan potassium trihydrate,amlodipine besylate (as amlodipine 5mg) + fimasartan potassium trihydrate (as fimasartan potassium 30mg)
652000ATB,amlodipine besylate + fimasartan potassium trihydrate,amlodipine besylate (as amlodipine 10mg) + fimasartan potassium trihydrate (as fimasartan potassium 30mg)
652100ATB,amlodipine besylate + fimasartan potassium trihydrate,amlodipine besylate (as amlodipine 10mg) + fimasartan potassium trihydrate (as fimasartan potassium 60mg)
519700ATB,amlodipine besylate + hydrochlorothiazide + olmesartan medoxomil,amlodipine besylate (as amlodipine 5mg) + hydrochlorothiazide 12.5mg + olmesartan medoxomil 40mg
519800ATB,amlodipine besylate + hydrochlorothiazide + olmesartan medoxomil,amlodipine besylate (as amlodipine 5mg) + hydrochlorothiazide 12.5mg + olmesartan medoxomil 20mg
520000ATB,amlodipine besylate + hydrochlorothiazide + olmesartan medoxomil,amlodipine besylate (as amlodipine 10mg) + hydrochlorothiazide 12.5mg + olmesartan medoxomil 40mg
663500ATB,amlodipine besylate + hydrochlorothiazide + telmisartan,amlodipine besylate (as amlodipine 5mg) + hydrochlorothiazide 12.5mg + telmisartan 40mg
663600ATB,amlodipine besylate + hydrochlorothiazide + telmisartan,amlodipine besylate (as amlodipine 5mg) + hydrochlorothiazide 12.5mg + telmisartan 80mg
663700ATB,amlodipine besylate + hydrochlorothiazide + telmisartan,amlodipine besylate (as amlodipine 10mg) + hydrochlorothiazide 12.5mg + telmisartan 80mg
663800ATB,amlodipine besylate + hydrochlorothiazide + telmisartan,amlodipine besylate (as amlodipine 10mg) + hydrochlorothiazide 25mg + telmisartan 80mg
637400ATB,amlodipine besylate + losartan potassium,amlodipine besylate (as amlodipine 5mg) + losartan potassium (as losartan 45.8mg)
637500ATB,amlodipine besylate + losartan potassium,amlodipine besylate (as amlodipine 10mg) + losartan potassium (as losartan 45.8mg)
637600ATB,amlodipine besylate + losartan potassium,amlodipine besylate (as amlodipine 5mg) + losartan potassium (as losartan 91.6mg)
500500ATB,amlodipine besylate + olmesartan medoxomil,amlodipine besylate (as amlodipine 5mg) + olmesartan medoxomil 20mg
582200ATB,amlodipine besylate + olmesartan medoxomil,amlodipine besylate (as amlodipine 5mg) + olmesartan medoxomil 40mg
582400ATB,amlodipine besylate + olmesartan medoxomil,amlodipine besylate (as amlodipine 10mg) + olmesartan medoxomil 40mg
500600ATB,amlodipine besylate + olmesartan medoxomil,amlodipine besylate 13.888mg + olmesartan medoxomil 20mg
519900ATB,amlodipine besylate + olmesartan medoxomil + hydrochlorothiazide,amlodipine besylate 13.888mg + olmesartan medoxomil 40mg + hydrochlorothiazide 25mg
520100ATB,amlodipine besylate + olmesartan medoxomil + hydrochlorothiazide,amlodipine besylate 6.944mg + olmesartan medoxomil 40mg + hydrochlorothiazide 25mg
