GNL_CD	GEN_SHORT	GEN_LONG	Med_Name_x	Med_Name_y	Type_for_4CE_Analysis	Med_Class	Class_Name	ATC_Code	Parent_RxNorm	ACT_RxNorm_List	ACT_Path	ACT_NDC_List
428201BIJ	6-beta-iodomethyl-19-norcholest-5(10)-en-3ug-ol(I-131) 0.037GBq(1mCi)	6-beta-iodomethyl-19-norcholest-5(10)-en-3ug-ol(I-131) 0.037GBq(1mCi)										
473402BIJ	Atosiban	Atosiban 37.5mg										
473401BIJ	Atosiban	Atosiban 6.75mg										
114301BIJ	BCG strain tice	BCG strain tice 12.5mg										
526030BIJ	BDDE bridged sodium hyaluronate gel	BDDE bridged sodium hyaluronate gel (as buranediol diglycidyl ether bridged sodium hyaluronate 60mg(20mg/mL))										
526001BIJ	BDDE bridged sodium hyaluronate gel	BDDE bridged sodium hyaluronate gel 3.0g(as buranediol diglycidyl ether bridged sodium hyaluronate 60mg)										
457003ATB	Bismuth subsalicylate	Bismuth subsalicylate 262mg										
619201COS	Bromfenac sodium sesquihydrate	Bromfenac sodium sesquihydrate 1mg										
521900ATB	Calcium carbonate + + Cholecalciferol concentrate powder	Calcium carbonate 95% granule 1 + 579mg (as Calcium 600mg) + Cholecalciferol concentrate powder 5mg (as Cholecalciferol 500 IU)										
335800CLQ	D-sorbitol + sodium docusate	D-sorbitol 13.4g(0.1985g/mL) + sodium docusate 10mg(0.1481mg/mL)										
486002ATD	Deferasirox	Deferasirox 250mg										
486003ATD	Deferasirox	Deferasirox 500mg										
486001ATD	Deferasirox	Deferasirox 125mg										
593401ATB	E.coli strain Nissle	E.coli strain Nissle 1917의 동결건조물 14mg(E.coli strain Nissle 1917ugug 25ug10^9 CFU)										
477403ATB	Erlotinib hydrochloride	Erlotinib hydrochloride(as Erlotinib 25mg) 27.32mg										
447200ATB	Felodipine + Ramipril	Felodipine 5mg + Ramipril 5mg	ramipril	ramipril	Tracked Drugs	ACEI	ACE inhibitors, plain	C09AA05	35296.0	RxNorm:35296,104383,104384,104385,198187,198188,198189,251856,251857,260333,261962,346568,347739,347972,348000,373748,373749,401965,401968,629055,656757,845488,845489	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\RPreparations\35296\	NDC:00039010310,00039010311,00039010407,00039010410,00039010411,00039010507,00039010510,00039010511,00039010610,00054010625,00054010720,00054010725,00054010729,00054010820,00054010825,00054010829,00054010925,00054010929,00088010347,00088010349,00088010427,00088010447,00088010449,00088010527,00088010547,00088010549,00088010647,00093743501,00093743510,00093743601,00093743605,00093743610,00093743701,00093743705,00093743710,00093743801,00093743805,00093743810,00179175970,00179175971,00179175972,00228269511,00228269550,00228269611,00228269650,00228269711,00228269750,00247109030,00247109060,00247109103,00247109130,00247109160,00480743601,00480743605,00480743701,00480743705,00480743801,00480743805,00490022801,00490022802,00490022803,00490022804,00490022805,00490024230,00615138331,00615138339,00781212601,00781212701,00781212705,00781212710,00781212801,00781212805,00781212826,00781212901,00781212905,00781212910,10544058830,12280006100,14288094225,14288094320,14288094325,14288094329,14288094420,14288094425,14288094429,14288094525,14288094529,16252057000,16252057001,16252057030,16252057100,16252057101,16252057150,16252057200,16252057201,16252057250,16252057300,16252057301,16252057310,16252057350,16729015201,16729015216,16729015301,16729015316,16729015401,16729015416,16729015501,16729015516,17856010802,21695082130,21695082190,21695082230,21695082260,21695082278,21695082290,21695082330,21695082360,24658020001,24658020005,24658020101,24658020105,24658020201,24658020205,24658020301,24658020305,26053028901,26053029001,26053040201,26053040301,31722027101,31722027105,31722027110,31722027201,31722027205,31722027210,31722027301,31722027305,31722027310,31722027401,31722027405,31722027410,33261090300,33261090330,33261090360,33261090390,33261096700,33261096730,33261096760,33261096790,35356089330,35356089360,35356089390,41284050000,41284050001,41284050100,41284050101,41284050107,41284050156,41284050200,41284050201,41284050207,41284050256,41284050300,41284050301,41284050307,41284057000,41284057030,41284057100,41284057101,41284057150,41284057200,41284057201,41284057250,41284057300,41284057301,41284057350,42291069201,42549070730,42549070790,43063030304,43063030330,43063030390,43063050230,45865044130,45865044149,45865044151,45865044160,45865044190,45865044330,45865044349,45865044351,45865044360,45865044390,49349031302,49856287501,49856287503,49856287505,49856287508,49856287600,49856287601,49856287603,49856287605,49856287608,49856287700,49856287701,49856287703,49856287705,49856287708,49856287800,49856287801,49856287803,49856287805,49856287808,49999087130,49999087190,49999093430,50090111800,50090111801,50090112000,50090112001,50090135400,50090214800,50090214801,50090216900,50090216901,50090247500,50090247501,50090257700,50090257701,50090305900,50436997101,50436998101,51129196501,51129284601,51129284602,51129309401,51129309402,51129453601,51129453602,51129456201,51129456202,51129456301,51129456302,51129903401,51138042430,51138042530,51138042610,51138042630,51138042710,51138042730,51655011752,51655030130,53104014400,53104014404,53104014405,53104014409,53104014500,53104014504,53104014507,53104014509,53104014600,53104014604,53104014607,53104014609,53104014700,53104014704,53104014707,53104014709,54569371300,54569371400,54569593600,54569611100,54569611101,54569611200,54569611201,54569641600,54868264400,54868264401,54868264402,54868264500,54868264501,54868264502,54868264503,54868384600,54868384601,54868384602,54868384603,54868574700,54868574701,54868584200,54868584201,54868584202,54868584203,54868584300,54868584301,54868584302,54868584303,54868584304,54868585600,54868585601,54868589600,55045206101,55045206108,55111043801,55111043805,55111043810,55111043830,55111043860,55111043878,55111043879,55111043885,55111043890,55111043901,55111043905,55111043910,55111043930,55111043960,55111043978,55111043979,55111043985,55111043990,55111044001,55111044005,55111044010,55111044030,55111044060,55111044078,55111044079,55111044085,55111044090,55111044101,55111044105,55111044110,55111044130,55111044160,55111044178,55111044179,55111044185,55111044190,55154120700,55154120701,55154120800,55154120801,55154120807,55154121100,55154121101,55154121104,55154121106,55154121208,55154225000,55154495600,55154495700,55289086730,55700040730,55700040760,55700040790,55700055130,55700055190,57237022201,57237022230,57237022301,57237022305,57237022401,57237022405,57237022501,57237022505,57297058801,57297058802,57297058901,57297058902,57297059001,57297059002,57297059101,57297059102,58016047400,58016047401,58016047402,58016047403,58016047404,58016047405,58016047406,58016047407,58016047408,58016047409,58016047410,58016047412,58016047414,58016047415,58016047416,58016047418,58016047420,58016047421,58016047425,58016047426,58016047427,58016047428,58016047430,58016047432,58016047435,58016047436,58016047440,58016047442,58016047444,58016047445,58016047448,58016047450,58016047456,58016047460,58016047467,58016047469,58016047470,58016047471,58016047472,58016047473,58016047475,58016047476,58016047477,58016047479,58016047480,58016047481,58016047482,58016047483,58016047484,58016047487,58016047490,58016047491,58016047492,58016047493,58016047496,58016047497,58016047498,58016047499,58118059008,58118059009,58118059108,58118059109,58864067430,58864084730,60429003801,60429003810,60429003901,60429003910,60429004001,60429004010,60429004101,60429004110,60491002730,60491002734,60491002830,60491002834,60491002930,60491002934,60491003030,60491003034,60505287501,60505287503,60505287505,60505287508,60505287600,60505287601,60505287603,60505287605,60505287608,60505287700,60505287701,60505287703,60505287705,60505287708,60505287800,60505287801,60505287803,60505287805,60505287808,60687032111,60687032121,60687033201,60687033211,60687034301,60687034311,60687035401,60687035411,60760047690,60760047790,60760063290,60760063390,60793050000,60793050001,60793050100,60793050101,60793050105,60793050107,60793050156,60793050200,60793050201,60793050205,60793050207,60793050256,60793050300,60793050301,60793050305,60793050307,60793071001,60793071005,60793071101,60793071105,60793071180,60793071201,60793091001,60793091005,60793091101,60793091105,60793091107,60793091180,60793091501,60793091505,60793091507,61392042625,61392042630,61392086831,61392086839,61570011001,61570011056,61570011101,61570011105,61570011107,61570011110,61570011150,61570011156,61570011201,61570011205,61570011207,61570011210,61570011250,61570011256,61570012001,61570012005,61570012007,61570012010,61570012080,61570015001,61570015005,61919015730,61919017990,61919083330,62584096200,62584096250,63187007330,63187007360,63187007390,63187027730,63187027760,63187027790,63187050330,63187050360,63187050390,63187064430,63187064460,63187064490,63187067530,63187067560,63187067590,63187081630,63187081660,63187081690,63187085430,63187085460,63187085490,63187091530,63187091560,63187091590,63304044110,63304044130,63304044169,63304044210,63304044230,63304044269,63629125301,63629125302,63629125303,63629125304,63629125401,63629125402,63629125403,63629125404,63629726001,63629726002,63629726003,63629726004,65084023410,65084023510,65084023710,65841065501,65841065505,65841065506,65841065516,65841065530,65841065601,65841065605,65841065606,65841065616,65841065630,65841065701,65841065705,65841065706,65841065716,65841065730,65841065801,65841065805,65841065806,65841065816,65841065830,65841069901,65841069905,65841069906,65841069910,65841069916,65841069930,65841070001,65841070005,65841070006,65841070010,65841070016,65841070030,65841070101,65841070105,65841070106,65841070110,65841070116,65841070130,65841070201,65841070205,65841070206,65841070210,65841070216,65841070230,65862047401,65862047410,65862047430,65862047449,65862047499,65862047501,65862047505,65862047510,65862047530,65862047549,65862047599,65862047601,65862047605,65862047610,65862047630,65862047649,65862047699,65862047701,65862047705,65862047710,65862047730,65862047749,65862047799,67253067110,67253067210,67253067211,67253067310,67253067311,67253067410,67253067411,67544051531,67787027101,67787027110,67787027201,67787027210,67787027301,67787027305,67787027310,67787027401,67787027405,67787027410,68001014004,68001014100,68001014103,68001014200,68001014203,68001014300,68001014303,68071099730,68084026601,68084026611,68084026701,68084026711,68084026801,68084026811,68084029401,68084029411,68084029421,68115037810,68115037820,68115037830,68115037840,68115037860,68115053000,68115053030,68115053060,68115081200,68115081230,68115081260,68151068102,68180058801,68180058802,68180058809,68180058901,68180058902,68180058909,68180059001,68180059002,68180059009,68180059101,68180059102,68180059109,68258602103,68258602203,68258602209,68258602303,68258602309,68382014401,68382014405,68382014406,68382014416,68382014430,68382014477,68382014501,68382014505,68382014506,68382014516,68382014530,68382014577,68382014601,68382014605,68382014606,68382014616,68382014630,68382014677,68382014701,68382014705,68382014706,68382014716,68382014730,68382014777,68382037401,68382037405,68382037406,68382037410,68382037416,68382037430,68382037501,68382037505,68382037506,68382037510,68382037516,68382037530,68382037601,68382037605,68382037606,68382037610,68382037616,68382037630,68382037701,68382037705,68382037706,68382037710,68382037716,68382037730,68788680401,68788680402,68788680403,68788680406,68788680409,68788700801,68788700802,68788700803,68788700806,68788700809,68788719801,68788719802,68788719803,68788719806,68788719809,69189047501,70518117500,70518120000,71205002930,71205002960,71205002990,71205008030,71205008060,71205008090,71335019601,71335019602,71335019603,71335019604,71335019605,71335089401,71335089402,71335089403,71335089404,71335089405,76282027101,76282027105,76282027110,76282027201,76282027205,76282027210,76282027301,76282027305,76282027310,76282027401,76282027405,76282027410
447100ATB	Felodipine + Ramipril	Felodipine 2.5mg + Ramipril 2.5mg	ramipril	ramipril	Tracked Drugs	ACEI	ACE inhibitors, plain	C09AA05	35296.0	RxNorm:35296,104383,104384,104385,198187,198188,198189,251856,251857,260333,261962,346568,347739,347972,348000,373748,373749,401965,401968,629055,656757,845488,845489	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\RPreparations\35296\	NDC:00039010310,00039010311,00039010407,00039010410,00039010411,00039010507,00039010510,00039010511,00039010610,00054010625,00054010720,00054010725,00054010729,00054010820,00054010825,00054010829,00054010925,00054010929,00088010347,00088010349,00088010427,00088010447,00088010449,00088010527,00088010547,00088010549,00088010647,00093743501,00093743510,00093743601,00093743605,00093743610,00093743701,00093743705,00093743710,00093743801,00093743805,00093743810,00179175970,00179175971,00179175972,00228269511,00228269550,00228269611,00228269650,00228269711,00228269750,00247109030,00247109060,00247109103,00247109130,00247109160,00480743601,00480743605,00480743701,00480743705,00480743801,00480743805,00490022801,00490022802,00490022803,00490022804,00490022805,00490024230,00615138331,00615138339,00781212601,00781212701,00781212705,00781212710,00781212801,00781212805,00781212826,00781212901,00781212905,00781212910,10544058830,12280006100,14288094225,14288094320,14288094325,14288094329,14288094420,14288094425,14288094429,14288094525,14288094529,16252057000,16252057001,16252057030,16252057100,16252057101,16252057150,16252057200,16252057201,16252057250,16252057300,16252057301,16252057310,16252057350,16729015201,16729015216,16729015301,16729015316,16729015401,16729015416,16729015501,16729015516,17856010802,21695082130,21695082190,21695082230,21695082260,21695082278,21695082290,21695082330,21695082360,24658020001,24658020005,24658020101,24658020105,24658020201,24658020205,24658020301,24658020305,26053028901,26053029001,26053040201,26053040301,31722027101,31722027105,31722027110,31722027201,31722027205,31722027210,31722027301,31722027305,31722027310,31722027401,31722027405,31722027410,33261090300,33261090330,33261090360,33261090390,33261096700,33261096730,33261096760,33261096790,35356089330,35356089360,35356089390,41284050000,41284050001,41284050100,41284050101,41284050107,41284050156,41284050200,41284050201,41284050207,41284050256,41284050300,41284050301,41284050307,41284057000,41284057030,41284057100,41284057101,41284057150,41284057200,41284057201,41284057250,41284057300,41284057301,41284057350,42291069201,42549070730,42549070790,43063030304,43063030330,43063030390,43063050230,45865044130,45865044149,45865044151,45865044160,45865044190,45865044330,45865044349,45865044351,45865044360,45865044390,49349031302,49856287501,49856287503,49856287505,49856287508,49856287600,49856287601,49856287603,49856287605,49856287608,49856287700,49856287701,49856287703,49856287705,49856287708,49856287800,49856287801,49856287803,49856287805,49856287808,49999087130,49999087190,49999093430,50090111800,50090111801,50090112000,50090112001,50090135400,50090214800,50090214801,50090216900,50090216901,50090247500,50090247501,50090257700,50090257701,50090305900,50436997101,50436998101,51129196501,51129284601,51129284602,51129309401,51129309402,51129453601,51129453602,51129456201,51129456202,51129456301,51129456302,51129903401,51138042430,51138042530,51138042610,51138042630,51138042710,51138042730,51655011752,51655030130,53104014400,53104014404,53104014405,53104014409,53104014500,53104014504,53104014507,53104014509,53104014600,53104014604,53104014607,53104014609,53104014700,53104014704,53104014707,53104014709,54569371300,54569371400,54569593600,54569611100,54569611101,54569611200,54569611201,54569641600,54868264400,54868264401,54868264402,54868264500,54868264501,54868264502,54868264503,54868384600,54868384601,54868384602,54868384603,54868574700,54868574701,54868584200,54868584201,54868584202,54868584203,54868584300,54868584301,54868584302,54868584303,54868584304,54868585600,54868585601,54868589600,55045206101,55045206108,55111043801,55111043805,55111043810,55111043830,55111043860,55111043878,55111043879,55111043885,55111043890,55111043901,55111043905,55111043910,55111043930,55111043960,55111043978,55111043979,55111043985,55111043990,55111044001,55111044005,55111044010,55111044030,55111044060,55111044078,55111044079,55111044085,55111044090,55111044101,55111044105,55111044110,55111044130,55111044160,55111044178,55111044179,55111044185,55111044190,55154120700,55154120701,55154120800,55154120801,55154120807,55154121100,55154121101,55154121104,55154121106,55154121208,55154225000,55154495600,55154495700,55289086730,55700040730,55700040760,55700040790,55700055130,55700055190,57237022201,57237022230,57237022301,57237022305,57237022401,57237022405,57237022501,57237022505,57297058801,57297058802,57297058901,57297058902,57297059001,57297059002,57297059101,57297059102,58016047400,58016047401,58016047402,58016047403,58016047404,58016047405,58016047406,58016047407,58016047408,58016047409,58016047410,58016047412,58016047414,58016047415,58016047416,58016047418,58016047420,58016047421,58016047425,58016047426,58016047427,58016047428,58016047430,58016047432,58016047435,58016047436,58016047440,58016047442,58016047444,58016047445,58016047448,58016047450,58016047456,58016047460,58016047467,58016047469,58016047470,58016047471,58016047472,58016047473,58016047475,58016047476,58016047477,58016047479,58016047480,58016047481,58016047482,58016047483,58016047484,58016047487,58016047490,58016047491,58016047492,58016047493,58016047496,58016047497,58016047498,58016047499,58118059008,58118059009,58118059108,58118059109,58864067430,58864084730,60429003801,60429003810,60429003901,60429003910,60429004001,60429004010,60429004101,60429004110,60491002730,60491002734,60491002830,60491002834,60491002930,60491002934,60491003030,60491003034,60505287501,60505287503,60505287505,60505287508,60505287600,60505287601,60505287603,60505287605,60505287608,60505287700,60505287701,60505287703,60505287705,60505287708,60505287800,60505287801,60505287803,60505287805,60505287808,60687032111,60687032121,60687033201,60687033211,60687034301,60687034311,60687035401,60687035411,60760047690,60760047790,60760063290,60760063390,60793050000,60793050001,60793050100,60793050101,60793050105,60793050107,60793050156,60793050200,60793050201,60793050205,60793050207,60793050256,60793050300,60793050301,60793050305,60793050307,60793071001,60793071005,60793071101,60793071105,60793071180,60793071201,60793091001,60793091005,60793091101,60793091105,60793091107,60793091180,60793091501,60793091505,60793091507,61392042625,61392042630,61392086831,61392086839,61570011001,61570011056,61570011101,61570011105,61570011107,61570011110,61570011150,61570011156,61570011201,61570011205,61570011207,61570011210,61570011250,61570011256,61570012001,61570012005,61570012007,61570012010,61570012080,61570015001,61570015005,61919015730,61919017990,61919083330,62584096200,62584096250,63187007330,63187007360,63187007390,63187027730,63187027760,63187027790,63187050330,63187050360,63187050390,63187064430,63187064460,63187064490,63187067530,63187067560,63187067590,63187081630,63187081660,63187081690,63187085430,63187085460,63187085490,63187091530,63187091560,63187091590,63304044110,63304044130,63304044169,63304044210,63304044230,63304044269,63629125301,63629125302,63629125303,63629125304,63629125401,63629125402,63629125403,63629125404,63629726001,63629726002,63629726003,63629726004,65084023410,65084023510,65084023710,65841065501,65841065505,65841065506,65841065516,65841065530,65841065601,65841065605,65841065606,65841065616,65841065630,65841065701,65841065705,65841065706,65841065716,65841065730,65841065801,65841065805,65841065806,65841065816,65841065830,65841069901,65841069905,65841069906,65841069910,65841069916,65841069930,65841070001,65841070005,65841070006,65841070010,65841070016,65841070030,65841070101,65841070105,65841070106,65841070110,65841070116,65841070130,65841070201,65841070205,65841070206,65841070210,65841070216,65841070230,65862047401,65862047410,65862047430,65862047449,65862047499,65862047501,65862047505,65862047510,65862047530,65862047549,65862047599,65862047601,65862047605,65862047610,65862047630,65862047649,65862047699,65862047701,65862047705,65862047710,65862047730,65862047749,65862047799,67253067110,67253067210,67253067211,67253067310,67253067311,67253067410,67253067411,67544051531,67787027101,67787027110,67787027201,67787027210,67787027301,67787027305,67787027310,67787027401,67787027405,67787027410,68001014004,68001014100,68001014103,68001014200,68001014203,68001014300,68001014303,68071099730,68084026601,68084026611,68084026701,68084026711,68084026801,68084026811,68084029401,68084029411,68084029421,68115037810,68115037820,68115037830,68115037840,68115037860,68115053000,68115053030,68115053060,68115081200,68115081230,68115081260,68151068102,68180058801,68180058802,68180058809,68180058901,68180058902,68180058909,68180059001,68180059002,68180059009,68180059101,68180059102,68180059109,68258602103,68258602203,68258602209,68258602303,68258602309,68382014401,68382014405,68382014406,68382014416,68382014430,68382014477,68382014501,68382014505,68382014506,68382014516,68382014530,68382014577,68382014601,68382014605,68382014606,68382014616,68382014630,68382014677,68382014701,68382014705,68382014706,68382014716,68382014730,68382014777,68382037401,68382037405,68382037406,68382037410,68382037416,68382037430,68382037501,68382037505,68382037506,68382037510,68382037516,68382037530,68382037601,68382037605,68382037606,68382037610,68382037616,68382037630,68382037701,68382037705,68382037706,68382037710,68382037716,68382037730,68788680401,68788680402,68788680403,68788680406,68788680409,68788700801,68788700802,68788700803,68788700806,68788700809,68788719801,68788719802,68788719803,68788719806,68788719809,69189047501,70518117500,70518120000,71205002930,71205002960,71205002990,71205008030,71205008060,71205008090,71335019601,71335019602,71335019603,71335019604,71335019605,71335089401,71335089402,71335089403,71335089404,71335089405,76282027101,76282027105,76282027110,76282027201,76282027205,76282027210,76282027301,76282027305,76282027310,76282027401,76282027405,76282027410
158212CPL	Fentanyl	Fentanyl 5.4mg										
485304CDS	Human dermal keratinocytes	사람유래피부각질세포 9 x 10^6 cells										
485302CDS	Human dermal keratinocytes	사람유래피부각질세포 3 x 10^6 cells										
485301CDS	Human dermal keratinocytes	사람유래피부각질세포 2 X 10^7 cells ugug										
518701BIJ	Idursulfase beta	Idursulfase beta 6mg										
505801ATB	Imidafenacin	Imidafenacin 0.1mg										
426001COM	Imiquimod	Imiquimod 12.5mg										
626830BIJ	Insulin degludec	Insulin degludec 300I.U(100I.U/mL)										
626831BIJ	Insulin degludec	Insulin degludec 600I.U(200I.U/mL)										
488701BIJ	Insulin detemir	Insulin detemir(recombinant human insulin 300 I.U) 42.6mg										
484901BIJ	Insulin glulisine	Insulin glulisine 10.47mg										
484902BIJ	Insulin glulisine	Insulin glulisine 34.9mg										
181401BIJ	"L-asparaginase	L-asparaginase 10,000Kyowa unit"""											
123801ATB	L-carbocysteine	L-carbocysteine 0.5g										
123841ASY	L-carbocysteine	L-carbocysteine 20g(20mg/mL)										
123844ASY	L-carbocysteine	L-carbocysteine 50g(50mg/mL)										
124501ATB	L-carnitine	L-carnitine 1g										
124531ALQ	L-carnitine	L-carnitine 30g(0.3g/mL)										
110530BIJ	L-ornithine-L-aspartate	L-ornithine-L-aspartate 0.5g(0.1g/mL)										
110531BIJ	L-ornithine-L-aspartate	L-ornithine-L-aspartate 5g(0.5g/mL)										
182901COS	Levo-cabastine	Levo-cabastine(HCl) 5mg										
182901CSI	Levo-cabastine	Levo-cabastine(HCl) 5mg										
486101ATB	Mitiglinide Calcium hydrate	Mitiglinide Calcium hydrate 10mg										
100101ALQ	Mycelium extract	'상황균사체엑스 1.1g										
100101AGN	Mycelium extract	'상황균사체엑스 1.1g										
386431AGN	N,S-methyldiacetylcysteine	N,S-methyldiacetylcysteine 45g(0.15g/g)										
489901BIJ	N-L-alanyl-L-glutamine	N(2)-L-alanyl-L-glutamine 20g										
198201COS	N-acetylaspartyl glutaminate	N-acetylaspartyl glutaminate 49mg										
484001ATB	Nitisinone	Nitisinone 2mg										
572801CSI	Nitrous oxide	Nitrous oxide 45L										
359002BIJ	Oxycodone Hydrochloride Hydrate	Oxycodone Hydrochloride Hydrate 10mg										
359003BIJ	Oxycodone Hydrochloride Hydrate	Oxycodone Hydrochloride Hydrate 20mg										
490001BIJ	Palonosetron HCl	Palonosetron HCl(as Palonosetron 0.25mg) 0.28mg										
618801BIJ	Pegfilgrastim	Pegfilgrastim 6mg										
483401ATB	Phenoxybenzamine	Phenoxybenzamine 10mg										
480404ATB	Pregabalin	Pregabalin 100mg										
218304CSI	Procaterol HCl	Procaterol HCl(micronized) 2mg										
482001BIJ	Purified Tuberculin	Purified Tuberculin 0.6ug										
482030BIJ	Purified Tuberculin	Purified Tuberculin 0.6ug(0.4ug/mL)										
524901ATB	R-thioctic acid tromethamine	R-thioctic acid tromethamine 0.48g										
484101BIJ	Rabies human immunoglobulin	Rabies human immunoglobulin 300I.U										
379601ATE	S-adenosyl-L-methionine sulfate-p-toluene sulfonate	S-adenosyl-L-methionine sulfate-p-toluene sulfonate (as S-adenosyl-L-methionine 0.2g)										
483201ATB	S-amlodipine besylate	S-amlodipine besylate (as S-amlodipine 2.5mg)										
483202ATB	S-amlodipine besylate	S-amlodipine besylate (as S-amlodipine 5mg)										
521200ATB	S-amlodipine besylate + telmisartan	S-amlodipine besylate (as S-amlodipine 2.5mg) + telmisartan 40mg	telmisartan	telmisartan	Tracked Drugs	ARB	Angiotensin II receptor blockers (ARBs), plain	C09CA07	73494.0	RxNorm:73494,205304,205305,213431,213432,282755,284531,374024,484824,2057151,2057152,2057158	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\TPreparations\73494\	NDC:00010449201,00054054218,00054054318,00054054418,00378292005,00378292077,00378292093,00378292105,00378292177,00378292193,00378292205,00378292277,00378292293,00591329215,00591329245,00591329315,00591329345,00591329415,00591329445,00597003928,00597003937,00597004028,00597004037,00597004070,00597004128,00597004137,00597004170,00603591416,00603591420,00603591432,00603591516,00603591520,00603591532,00603591616,00603591620,00603591632,00781537206,00781537264,00781537406,00781537464,00781537806,00781537864,12714010970,12714011070,12714013928,13668015601,13668015630,13668015636,13668015672,13668015674,13668015701,13668015730,13668015736,13668015772,13668015774,13668015801,13668015830,13668015836,13668015872,13668015874,31722080231,31722080232,31722080233,31722080234,31722080235,31722080236,31722080331,31722080332,31722080333,31722080334,31722080335,31722080336,31722080337,31722080431,31722080432,31722080433,31722080434,31722080435,31722080436,31722080437,35356029530,35356029630,35356029830,42291079030,42291079130,42291079230,42571022605,42571022610,42571022611,42571022630,42571022632,42571022641,42571022690,42571022705,42571022710,42571022711,42571022730,42571022732,42571022741,42571022790,42571022805,42571022810,42571022811,42571022830,42571022832,42571022841,42571022890,43547028303,43547028309,43547028350,43547028403,43547028409,43547028450,43547028503,43547028509,43547028550,45865084130,46708008710,46708008730,46708008791,46708008810,46708008830,46708008891,46708008910,46708008930,46708008991,53746029130,53746029230,53746029330,54868453901,54868460500,54868460501,54868460502,54868619300,55048061930,55048062030,55048062130,59746043912,59746043932,59746044012,59746044032,59746044112,59746044132,62332008710,62332008730,62332008791,62332008810,62332008830,62332008891,62332008910,62332008930,62332008991,63187095130,63187095160,63187095190,63629723001,63629723002,64674003937,64674004037,64674004070,64674004137,64674004170,65162029103,65162029109,65162029150,65162029163,65162029203,65162029209,65162029211,65162029250,65162029263,65162029303,65162029309,65162029311,65162029350,65162029363,65841080401,65841080405,65841080406,65841080410,65841080416,65841080430,65841080478,65841080501,65841080505,65841080506,65841080510,65841080516,65841080530,65841080578,65841080601,65841080605,65841080606,65841080610,65841080616,65841080630,65841080678,65862086703,65862086710,65862086803,65862086810,65862086903,65862086910,66105084203,66105084206,66105084209,66105084210,66105084228,67877048205,67877048230,67877048233,67877048284,67877048290,67877048305,67877048330,67877048333,67877048384,67877048390,67877048405,67877048430,67877048433,67877048484,67877048490,68382047101,68382047105,68382047106,68382047110,68382047116,68382047130,68382047178,68382047201,68382047205,68382047206,68382047210,68382047216,68382047230,68382047278,68382047301,68382047305,68382047306,68382047310,68382047316,68382047330,68382047378,68462019901,68462019911,68462019913,68462020001,68462020011,68462020013,68462020101,68462020111,68462020113,69189292101,71209004916,71209004918,71209005016,71209005018,71209005116,71209005118,71335087501,71335087502
